id,flight_id,pour_no,whiskey_id,rating,profiness,viscocity,complexity,finish_duration,created_at,updated_at,deleted_at
344,275,1,2928,"5.00",,,,,2025-04-08 09:56:35,2025-04-08 09:56:35,
345,276,1,2928,"5.00",,,,,2025-04-08 09:56:36,2025-04-08 09:56:36,
346,277,1,2836,"5.20","1.80","5.50","1.40","7.40",2025-04-08 09:59:25,2025-04-08 09:59:25,
347,277,2,2886,"2.90",,,,,2025-04-08 09:59:25,2025-04-08 09:59:25,
348,278,1,2836,"3.60",,,,,2025-04-08 11:27:21,2025-04-08 11:27:21,
349,279,1,2836,"3.00","10.00","5.00","6.20","3.30",2025-04-08 11:29:01,2025-04-08 11:29:01,
350,280,1,1977,"6.80","7.40","7.20","6.80","7.30",2025-04-09 01:15:26,2025-04-09 01:15:26,
353,283,1,2928,"4.20",,,,,2025-04-09 11:27:54,2025-04-09 11:27:54,
356,286,1,229,"6.90","5.50","6.20","6.70","6.50",2025-04-10 02:05:34,2025-04-10 02:05:34,
357,287,1,456,"6.20","5.00","5.50","5.50","6.50",2025-04-10 21:58:03,2025-04-10 21:58:03,
358,288,1,2235,"7.60","6.50","9.00","6.50","6.50",2025-04-10 22:10:09,2025-04-10 22:10:09,
359,289,1,1693,"8.40","7.00","6.50","7.50","7.00",2025-04-10 23:03:07,2025-04-10 23:03:07,
360,290,1,836,"7.30",,,,,2025-04-11 00:14:12,2025-04-11 00:14:12,
361,291,1,2565,"7.70",,,,,2025-04-11 00:32:54,2025-04-11 00:32:54,
362,292,1,1586,"9.20","6.50","9.00","8.00","7.60",2025-04-11 01:19:02,2025-04-11 01:19:02,
363,293,1,2323,"4.50",,,,,2025-04-11 05:51:36,2025-04-11 05:51:36,
365,295,1,2929,"3.50",,,,,2025-04-11 06:20:19,2025-04-11 06:20:19,
366,296,1,2783,"2.70",,,,,2025-04-11 06:23:03,2025-04-11 06:23:03,
367,296,2,2836,"3.90",,,,,2025-04-11 06:23:03,2025-04-11 06:23:03,
